case_id,case_type,razorpay_payment_id,razorpay_order_id,razorpay_sub_id,razorpay_token_id,razorpay_customer_id,amount_paise,currency,method,card_network,error_code,error_source,error_step,error_reason,error_description,decline_class,subscription_status,retry_count,max_retries,created_at,last_attempt_at,next_retry_at,case_status,recovery_method,recovered_amount_paise,contact_phone,contact_email,invoice_id,company_name,gstin,aging_bucket,checkout_stage,amount_rupees,recovered_amount_rupees
ea8276c8-2c52-417b-9d80-9e34a3e85ebf,subscription,pay_lao3SRul1Kkz37,order_SPLn8xcf56KYFr,sub_XDlMyN6bAvwClx,token_SsAMUMVZmAYv1j,cust_S0D3B4pY8WGMZx,1173100,INR,netbanking,,GATEWAY_ERROR,issuer_bank,payment_authorization,bank_technical_error,Bank downtime. Please try again later.,technical,active,2,3,2026-08-05T04:28:18.997650+05:30,2026-08-08T10:28:18.997650+05:30,,recovered,auto_retry,1173100,+917788237410,ayaan.pillai178@rediffmail.com,,,,,,11731.0,11731.0
9756f76b-4c16-4c16-8887-f480cc0cf6d2,mandate,pay_JlBfh9zayAYZva,order_oB5XAFzQ73NhDF,,token_TIskmMZdCpD6xs,cust_rgrwzaVAWriH6f,34200,INR,card,visa,BAD_REQUEST_ERROR,issuer_bank,payment_authorization,debit_instrument_blocked,Your card is blocked. Please contact your bank.,hard,,0,0,2026-08-05T04:29:01.997650+05:30,2026-08-05T04:29:01.997650+05:30,,closed,manual,0,+918877087760,ishaan.thakur714@outlook.com,,,,,,342.0,0.0
04feae54-931d-47bd-8fff-0869b327698f,subscription,pay_ykmqFld657jRhz,order_ddn2iYhXGdxHNq,sub_F5V4rxdihsjqcU,token_OIRG36fM4YJkYX,cust_HeEyQKiuqNYhD9,396700,INR,card,mastercard,BAD_REQUEST_ERROR,gateway,payment_authorization,payment_failed,Payment was declined by the bank.,technical,active,1,3,2026-08-05T04:46:34.997650+05:30,2026-08-29T10:46:34.997650+05:30,,recovered,auto_retry,396700,+917766680987,sai.roy981@hotmail.com,,,,,,3967.0,3967.0
06623738-bc4f-484c-8e82-6ca59fb71b30,subscription,pay_3IFbGAycFIj4P9,order_XbvVjqLTfeko0S,sub_7dLSHBKfInhgw7,token_RPAgSUi8LDVk7b,cust_RJJG8t8dxhLO46,95900,INR,upi,,BAD_REQUEST_ERROR,gateway,payment_authorization,insufficient_funds,Your payment could not be completed due to insufficient account balance.,soft,active,1,3,2026-08-05T05:08:45.997650+05:30,2026-08-23T10:08:45.997650+05:30,,recovered,auto_retry,95900,+918899070207,krishna.shah363@outlook.com,,,,,,959.0,959.0
238b1093-8f70-4533-b269-150e80e4d63f,subscription,pay_6iW0NCv68v62wI,order_JcT3YbSonlybi6,sub_49uOlReacVdCyk,token_hIQcsqJL1RWM5S,cust_MjE3yOx1wr8sZv,204200,INR,card,visa,BAD_REQUEST_ERROR,issuer_bank,card_enrollment_check,card_not_enrolled,Your card is not enabled for online payments.,hard,pending,0,0,2026-08-05T05:48:27.997650+05:30,2026-08-05T05:48:27.997650+05:30,,closed,manual,0,+918899054726,ananya.dey629@gmail.com,,,,,,2042.0,0.0
9926d760-3af6-4fb5-9b8f-dbd269ebcab9,mandate,pay_6CWCckBigmpwUU,order_l1s2ofcwoXRNUh,,token_fZGjwCFHw9K1Sm,cust_txLRprHE9iM0VW,1452900,INR,upi,,BAD_REQUEST_ERROR,issuer_bank,payment_authorization,transaction_limit_exceeded,Maximum transaction limit exceeded for the day.,soft,,3,3,2026-08-05T05:56:44.997650+05:30,2026-08-18T11:56:44.997650+05:30,,escalated,voice,0,+919988085471,amit.chauhan429@rediffmail.com,,,,,,14529.0,0.0
d0466cbf-4f16-4b6b-b1a2-832c1f880476,subscription,pay_JdGQ3w34mAWcwj,order_XYcVVBW806LDfL,sub_e8wf8Z9PgdcK0U,token_ZqUwy5z3mPasqs,cust_Lw3YHwJQQvXuJ0,69100,INR,emandate,,BAD_REQUEST_ERROR,customer,payment_authentication,payment_cancelled,Your payment has been cancelled.,soft,active,1,3,2026-08-05T06:39:11.997650+05:30,2026-08-24T10:39:11.997650+05:30,,recovered,auto_retry,69100,+918877348768,sanjay.chauhan936@outlook.com,,,,,,691.0,691.0
e4568a34-0e2e-46fa-91ba-4766700692d1,subscription,pay_4LIIhmEdrRglSF,order_48LMkjdpIYjYRg,sub_JNB5vvd7GVrf2q,token_8XsjHXf9RD9L91,cust_FhzHC78iszmf2X,2577000,INR,card,mastercard,BAD_REQUEST_ERROR,gateway,payment_authorization,insufficient_funds,Your payment could not be completed due to insufficient account balance.,soft,active,1,3,2026-08-05T07:05:06.997650+05:30,2026-08-24T10:05:06.997650+05:30,,recovered,auto_retry,2577000,+917788674885,neha.mishra259@outlook.com,,,,,,25770.0,25770.0
e126ffbe-c6aa-4ee8-a754-822d12005c6a,subscription,pay_MipTlLoTjWVFTq,order_VHmHkfzkGDJDOJ,sub_aWWrtCSwirrgoX,token_ySrwFc0uYHpIMk,cust_iLwfqCyBKgSKtf,1609500,INR,upi,,BAD_REQUEST_ERROR,customer,payment_authentication,payment_cancelled,Your payment has been cancelled.,soft,halted,3,3,2026-08-05T07:13:18.997650+05:30,2026-08-11T15:13:18.997650+05:30,,escalated,voice,0,+919876710257,aditi.kumar776@rediffmail.com,,,,,,16095.0,0.0
78c3a41b-8a5e-4e2c-b5c4-a74c9705fcff,mandate,pay_vX0YGos5NWqp26,order_K3h4lID8NbL28e,,token_tJGQYGAQXy0uuD,cust_sOKGFYxbkiJLmc,18600,INR,card,mastercard,BAD_REQUEST_ERROR,issuer_bank,payment_authorization,card_disabled_for_online_payments,Your card is disabled for online payments.,hard,,0,0,2026-08-05T07:30:23.997650+05:30,2026-08-05T07:30:23.997650+05:30,,closed,manual,0,+918877246556,ananya.joshi380@yahoo.co.in,,,,,,186.0,0.0
03a56ed9-6cee-466d-9dff-734029197c24,mandate,pay_a4fCmVeKw7W0zD,order_rzMRaaOJOIfKOn,,token_pd0xCPpQyqS1Sm,cust_rPmOlxcAJnZYQP,301300,INR,emandate,,BAD_REQUEST_ERROR,customer,payment_authentication,payment_timed_out,Your payment could not be completed due to a temporary issue. Try again later.,soft,,3,3,2026-08-05T07:56:38.997650+05:30,2026-08-25T15:56:38.997650+05:30,,recovered,sms,301300,+917766355887,priya.das736@rediffmail.com,,,,,,3013.0,3013.0
26fbf8a6-3655-41f3-bf71-7844deb3f36e,mandate,pay_KT5JnndPSswx4k,order_MCzN4EAyjGS0Xc,,token_RTCfHGGCQ9AyaI,cust_oluiPVcuAvj3Cu,985500,INR,card,mastercard,BAD_REQUEST_ERROR,customer,payment_initiation,incorrect_cvv,Incorrect CVV entered.,soft,,1,3,2026-08-05T07:58:08.997650+05:30,2026-08-13T10:58:08.997650+05:30,,recovered,auto_retry,985500,+917788075256,aditya.banerjee17@hotmail.com,,,,,,9855.0,9855.0
1cc418b6-f2d9-427c-96d6-09ede50a521e,payment,pay_kP1l3MRhXGwSvG,order_6lB1Rk7z8Wdtva,,,cust_63D3ugiguAIeA6,231800,INR,upi,,BAD_REQUEST_ERROR,customer,payment_authentication,payment_cancelled,Your payment has been cancelled.,soft,,3,3,2026-08-05T09:12:45.997650+05:30,2026-08-26T16:12:45.997650+05:30,,escalated,voice,0,+919988694481,aditya.thakur768@outlook.com,,,,,,2318.0,0.0
bf067887-0a89-4925-9e00-2440d86d11c5,payment,pay_Wx1ttTI53VB5a3,order_XHgJlRHBewuCnC,,,cust_WWoexGjkfkKhTp,190600,INR,upi,,BAD_REQUEST_ERROR,gateway,payment_authorization,insufficient_funds,Your payment could not be completed due to insufficient account balance.,soft,,3,3,2026-08-05T09:12:55.997650+05:30,2026-09-03T13:12:55.997650+05:30,,escalated,voice,0,+918899873111,diya.iyer375@yahoo.co.in,,,,,,1906.0,0.0
